,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
43,"New fiction of familial roots and grief, spanning Louisiana, suburban New York and Trinidad.",HERE LIES By Olivia Clare Friedman 196 pp. Grove. $24.,When the Past Can’t Be Buried: Debut Novels Dredge Up Old Ties,2022-03-01T10:00:06+0000,article,Books,News,"Books and Literature;Here Lies: A Novel (Book);Friedman, Olivia Clare;Don't Say We Didn't Warn You (Book);Banwo, Ayanna Lloyd;When We Were Birds: A Novel (Book);Dixon, Ariel Delgado"
44,Yoko Tawada’s novel “Scattered All Over the Earth” imagines a future in which a climate crisis has eroded borders and cultural identities.,SCATTERED ALL OVER THE EARTHBy Yoko TawadaTranslated by Margaret Mitsutani,"When Nations Disappear, What Happens to Nationalities?",2022-03-01T10:00:06+0000,article,Books,Review,"Books and Literature;Tawada, Yoko;Mitsutani, Margaret;Scattered All Over the Earth (Book)"
45,"“All My Rage” is a love story, a tragedy and an infectious teenage fever dream about home when you feel you don’t fit in.",ALL MY RAGEBy Sabaa Tahir,Sabaa Tahir’s New Y.A. Novel Poignantly Explores the Meaning of Home,2022-03-01T10:00:06+0000,article,Books,Review,"Books and Literature;Tahir, Sabaa;All My Rage (Book);genre-books-young-adult"
46,"In her essay collection, “Run Towards the Danger,” Polley discusses her early fame, her largely unsupervised adolescence and her complicated relationships.",RUN TOWARDS THE DANGERConfrontations With a Body of MemoryBy Sarah Polley,"How Sarah Polley, Child Star and ‘Canada’s Sweetheart,’ Grew Up Way Too Fast",2022-03-01T10:00:06+0000,article,Books,Review,"Books and Literature;Content Type: Personal Profile;Actors and Actresses;Polley, Sarah;Run Towards the Danger: Confrontations with a Body of Memory (Book)"
47,"In “The Greatest Invention,” Silvia Ferrara offers a dizzying and entertaining tour of written language.",THE GREATEST INVENTIONA History of the World in Nine Mysterious ScriptsBy Silvia Ferrara. Translated by Todd Portnowitz.,A Tour of Writing’s History Bounces From Script to Script,2022-03-01T10:00:06+0000,article,Books,Review,"Books and Literature;Language and Languages;The Greatest Invention: A History of the World in Nine Mysterious Scripts (Book);Portnowitz, Todd;Ferrara, Silvia"
48,"“The Doloriad,” by Missouri Williams, imagines a large coterie of siblings dwelling in a bleak future.",THE DOLORIADBy Missouri Williams,"In a Debut Novel, Humans Are Scarce and Humanity Is Scarcer",2022-03-01T10:00:06+0000,article,Books,Review,"Books and Literature;The Doloriad: A Novel (Book);Williams, Missouri"
49,"Axie Oh’s latest novel, “The Girl Who Fell Beneath the Sea,” transforms a classic Korean folk tale into an empowering fantasy story about defining your own fate.","Welcome to YA/NYT, a monthly column in which we recommend one new young adult book that you won’t want to miss.","An Old Tale of Sea Gods and Sacrifices Gets a Fresh, Feisty Spin",2022-03-01T10:00:07+0000,article,Books,Review,"Books and Literature;Oh, Axie;The Girl Who Fell Beneath the Sea (Book);genre-books-young-adult"
50,I wanted to give up a precious thing whose absence would make room for something revelatory.,"Last year, I gave up English for Lent. For 40 days, with the exception of conversations, my own activities — the books I read, the television I watched, the podcasts I heard — had to be in one of the non-English languages I could understand, which included Spanish, Portuguese, Korean and Chinese, to varying degrees. As a college senior living in New Jersey at the time, I also made an exception for school; I had to graduate, after all, from a university in a country where English is a necessary part of getting by.",I Gave Up English for Lent,2022-03-01T10:00:08+0000,article,Opinion,Op-Ed,Lent;Easter and Holy Week;English Language
51,The magazine’s Ethicist columnist on when tribalism tears a family apart.,"I’m 80 and in very good health. I have two grown daughters, both in their 50s, and a lovely granddaughter in her teens. A few years ago, I made my will for my estate to be divided equally between those three survivors.",May I Disinherit My Right-Wing Daughters?,2022-03-01T10:00:08+0000,article,Magazine,News,Politics and Government;United States Politics and Government;Ethics (Personal);Vaccination and Immunization
52,We need to embrace a Bayesian approach to the child vaccine data.,"As a parent of three children under 4, I was hit hard by last month’s announcement that the Food and Drug Administration was delaying its review of Pfizer-BioNTech’s Covid-19 vaccine for children under 5.",I’m a Parent and a Statistician. There’s a Smarter Way to Think About the Under-5 Vaccine.,2022-03-01T10:00:08+0000,article,Opinion,Op-Ed,Statistics;Clinical Trials;Vaccination and Immunization;Coronavirus (2019-nCoV)
53,"In her memoir, “Never Simple,” Liz Scheier writes about life as the child of a master manipulator.","Welcome to Group Text, a monthly column for readers and book clubs about the novels, memoirs and short-story collections that make you want to talk, ask questions and dwell in another world for a little bit longer.","What Is Your Obligation to a Difficult, Deceptive Parent?",2022-03-01T10:00:09+0000,article,Books,News,"Books and Literature;Content Type: Personal Profile;Never Simple: A Memoir (Book);Scheier, Liz"
54,"Is choosing not to respond to texts, emails and other digital messages rude? Or is it sometimes necessary?","Have you ever gotten so overwhelmed by texts, emails, direct messages on social media and chatter in Discord servers and group chats that you just … stopped responding?",Do You Ever Ignore Text Messages?,2022-03-01T10:00:09+0000,article,The Learning Network,News,Text Messaging
55,With online auctions there’s no accounting for taste — only paying a price for it.,"You can blame George and Martha Washington for my love affair with online art auctions — or actually, two bedraggled dolls made in the image of the original first couple. They were a little more than a foot tall, made of carved wood and wire and painted by an unknown hand ages ago. “George’s hair has thinned, Martha is missing her right thumb,” read the sales description. They seduced me despite their dingy colonial attire and faces that had the waxed shine of supermarket fruit. To me, they were folk relics that embodied American culture: neither trash or treasure but a bit of both. They sold for 90 bucks.",How to Buy a Masterpiece on a Budget,2022-03-01T10:00:10+0000,article,Magazine,News,Art;Auctions;E-Commerce;Computers and the Internet
56,It has all the mystery and half the charm of a slapped-together awards show. ,"More than a century ago, Woodrow Wilson gave the first in-person presidential address to Congress since Thomas Jefferson ended the practice in 1801. The new tradition stuck and eventually became the template for the president’s annual “message to Congress.” It was Franklin Roosevelt who used the phrase “the State of the Union” in one of those speeches, and by the late 1940s, it had become our national shorthand for the speech. The 20th century transformed what had been, for most of American history, a staid, written report into a giant annual spectacle of presidential majesty and congressional hooting and hollering.",How the State of the Union Became One of the Weirdest Nights in American Politics,2022-03-01T10:00:10+0000,article,Opinion,Op-Ed,"United States Politics and Government;State of the Union Message (US);Presidents and Presidency (US);Social Media;Celebrities;Biden, Joseph R Jr;Jefferson, Thomas"
